%% eladata %%

%% 10×5 %%
dataArray = {
    [10, 5, 1.15];
    [5, 1, 2, 21, 1, 1, 53, 1, 5, 95, 1, 4, 55, 2, 3, 34, 5, 34]; 
    [5, 1, 1, 21, 1, 4, 52, 1, 5, 16, 1, 3, 26, 1, 2, 71]; 
    [5, 1, 4, 39, 1, 5, 98, 2, 2, 42, 4, 42, 1, 3, 31, 1, 1, 12]; 
    [5, 2, 2, 77, 5, 77, 1, 1, 55, 1, 5, 79, 1, 3, 66, 1, 4, 77]; 
    [5, 1, 1, 83, 2, 4, 34, 3, 34, 1, 3, 64, 1, 2, 19, 1, 5, 37]; 
    [5, 1, 2, 54, 1, 3, 43, 2, 5, 79, 4, 79, 1, 1, 92, 1, 4, 62]; 
    [5, 2, 4, 69, 3, 69, 1, 5, 77, 1, 2, 87, 1, 3, 87, 1, 1, 93]; 
    [5, 1, 3, 38, 1, 1, 60, 1, 2, 41, 1, 4, 24, 1, 5, 83]; 
    [5, 1, 4, 17, 2, 2, 49, 1, 49, 1, 5, 25, 1, 1, 44, 2, 3, 98, 1, 98]; 
    [5, 1, 5, 77, 2, 4, 79, 1, 79, 2, 3, 43, 2, 43, 1, 2, 75, 1, 1, 96];
};

dataArray = {
    [10, 5, 1.15];
    [5, 1, 1, 20, 1, 4, 87, 1, 2, 31, 1, 5, 76, 2, 3, 17, 5, 17]; 
    [5, 1, 5, 25, 1, 3, 32, 1, 1, 24, 1, 2, 18, 1, 4, 81]; 
    [5, 1, 2, 72, 1, 3, 23, 2, 5, 28, 4, 28, 1, 1, 58, 1, 4, 99]; 
    [5, 2, 3, 86, 5, 86, 1, 2, 76, 1, 5, 97, 1, 1, 45, 1, 4, 90]; 
    [5, 1, 5, 27, 2, 1, 42, 3, 42, 1, 4, 48, 1, 3, 17, 1, 2, 46]; 
    [5, 1, 2, 67, 1, 1, 98, 2, 5, 48, 4, 48, 1, 4, 27, 1, 3, 62]; 
    [5, 2, 5, 28, 3, 28, 1, 2, 12, 1, 4, 19, 1, 1, 80, 1, 3, 50]; 
    [5, 1, 2, 63, 1, 1, 94, 1, 3, 98, 1, 4, 50, 1, 5, 80]; 
    [5, 1, 5, 14, 2, 1, 75, 4, 75, 1, 3, 50, 2, 2, 41, 5, 41, 1, 4, 55]; 
    [5, 1, 5, 72, 1, 3, 18, 2, 2, 37, 4, 37, 1, 4, 79, 2, 1, 61, 3, 61]; 
};

dataArray = {
    [10, 5, 1.15];
